Q1027200,P166,Q6496321,occurUntil,2009
Q1027200,P17,Q203493,,
Q1029155,P1411,Q900378,occurSince,1989
Q1029155,P1411,Q900378,occurUntil,2017
Q1048856,P1411,Q1285970,occurSince,1972
Q1062107,P1082,366,occurSince,1968
Q106482,P166,Q900494,occurSince,1976
Q1073490,P1082,281,occurSince,2013
Q1075447,P1082,539,occurSince,1880
Q1075447,P1082,539,occurUntil,1939
Q1075447,P17,Q243610,,
Q1079453,P54,Q32494,occurSince,2006
Q1086351,P1082,2711,occurSince,1930
Q108672,P17,Q34266,,
Q109717,P1087,2548,occurUntil,2016
Q1124934,P1087,2646,occurSince,2016
Q113841,P54,Q186262,occurSince,2012
Q1140209,P54,Q854932,occurSince,2000
Q1140209,P17,Q36,,
Q1160387,P1087,2488,occurUntil,2010
Q116995,P1411,Q6314056,occurUntil,1986
Q1185034,P1082,200,occurUntil,1961
Q1209,P131,Q151624,occurSince,1815
Q1209,P17,Q159,,
Q12173,P1082,376,occurSince,2012
Q1220489,P54,Q17521353,occurSince,2005
Q1220489,P17,Q183,,
Q1229335,P1087,2549,occurSince,2016
Q124853,P54,Q5794,occurSince,1982
Q1253722,P1082,239,occurUntil,1869
Q1261853,P1082,572,occurSince,2001
Q1281333,P1087,2221,occurSince,2012
Q1291479,P1087,2237,occurSince,2010
Q1297072,P1087,2528,occurSince,2012
Q1303343,P1087,2205,occurSince,2016
Q132083,P54,Q183468,occurSince,2004
Q1334037,P1087,2417,occurSince,2006
Q13622,P1082,2217,occurUntil,1976
Q13747,P1082,322,occurSince,2011
Q13814,P1082,2722,occurUntil,2009
Q142038,P54,Q169985,occurSince,1997
Q148299,P1082,1761,occurSince,1930
Q155388,P1087,2450,occurSince,2015
Q165960,P1082,432,occurUntil,1880
Q168943,P1087,2613,occurSince,2015
Q168943,P17,Q212439,,
Q178170,P54,Q310608,occurSince,1996
Q179282,P166,Q1778662,occurSince,1989
Q188542,P54,Q191101,occurUntil,2013
Q1912,P54,Q704,occurSince,2004
Q1912,P17,Q7318,,
Q204108,P54,Q631,occurSince,1997
Q214713,P1087,2713,occurSince,2014
Q216816,P54,Q8749,occurSince,1995
Q218508,P1082,232,occurUntil,1991
Q219000,P1087,2511,occurUntil,2014
Q219354,P54,Q18716,occurUntil,1998
Q219354,P17,Q12560,,
Q233976,P1411,Q80061,occurUntil,1928
Q23628,P1411,Q5175208,occurSince,2004
Q239104,P54,Q106394,occurUntil,2006
Q250489,P54,Q455991,occurSince,2006
Q25613,P54,Q935956,occurUntil,2008
Q25845,P1082,571,occurUntil,1880
Q262485,P1082,1566,occurUntil,1970
Q262485,P17,Q212,,
Q270204,P1411,Q1341487,occurUntil,2000
Q275263,P1087,2466,occurUntil,2010
Q275303,P1087,2389,occurUntil,2016
Q275710,P54,Q19453,occurSince,2016
Q281976,P1082,1075,occurUntil,1925
Q288069,P54,Q242260,occurUntil,2013
Q296416,P54,Q10308,occurUntil,2010
Q310697,P54,Q221695,occurSince,2004
Q310697,P17,Q139319,,
Q311200,P54,Q42267,occurSince,1991
Q312918,P1087,2724,occurUntil,2014
Q314229,P54,Q170403,occurSince,2008
Q314229,P17,Q203493,,
Q322333,P54,Q324854,occurUntil,2006
Q322888,P1087,2335,occurSince,2002
Q322888,P1087,2138,occurUntil,2016
Q322888,P17,Q203493,,
Q326862,P1087,2546,occurUntil,2004
Q329635,P54,Q102720,occurUntil,2003
Q33128,P1411,Q44585,occurUntil,1956
Q33128,P17,Q28513,,
Q338982,P1082,295,occurSince,2017
Q339184,P1082,289,occurSince,1970
Q339446,P1082,189,occurUntil,1950
Q339583,P54,Q219098,occurSince,2012
Q339583,P54,Q374069,occurUntil,2010
Q344193,P54,Q172567,occurSince,2009
Q346009,P54,Q19498,occurUntil,2010
Q346009,P17,Q218,,
Q346735,P54,Q50602,occurUntil,2008
Q347603,P54,Q631,occurSince,1997
Q34773,P1082,928,occurSince,1976
Q351204,P2962,Q752119,occurSince,1995
Q351204,P17,Q223936,,
Q352413,P1087,2623,occurUntil,2015
Q363214,P1087,2510,occurUntil,2006
Q364327,P1087,2571,occurUntil,2017
Q365406,P1411,Q37922,occurSince,1966
Q377745,P1087,2381,occurUntil,2016
Q377745,P17,Q133356 ,,
Q378087,P1082,609,occurUntil,1980
Q379462,P1087,2423,occurUntil,2010
Q380196,P54,Q2714,occurUntil,2009
Q383446,P54,Q207441,occurSince,2000
Q383446,P17,Q219,,
Q386809,P1082,524,occurSince,1880
Q386809,P17,Q30,,
Q388989,P54,Q666969,occurUntil,2010
Q389766,P54,Q8476,occurSince,2009
Q39240,P1082,952,occurSince,1985
Q39240,P17,Q223936,,
Q392523,P1082,1129,occurUntil,1890
Q392523,P17,Q34266,,
Q393481,P1082,651,occurUntil,1961
Q39368,P1082,2389,occurSince,1918
Q39368,P17,Q38,,
Q41342,P1411,Q1287335,occurSince,1972
Q42930,P166,Q908858,occurUntil,2012
Q430543,P1087,2219,occurSince,2017
Q430951,P1082,63,occurUntil,2014
Q434047,P1087,2262,occurSince,2004
Q434047,P17,Q212439,,
Q440813,P1087,2390,occurUntil,2004
Q440813,P1087,2377,occurSince,2005
Q440813,P17,Q34266,,
Q441696,P54,Q316497,occurSince,2010
Q441696,P17,Q212439,,
Q443175,P1352,2,occurUntil,2015
Q4457,P54,Q822990,occurSince,1965
Q44673,P54,Q17354166,occurSince,2005
Q446941,P1411,Q549884,occurSince,1981
Q446941,P17,Q27306,,
Q44750,P54,Q1344163,occurUntil,2009
Q44750,P17,Q12560,,
Q448256,P1087,2448,occurSince,2015
Q450900,P1087,2418,occurUntil,2003
Q450900,P17,Q212,,
Q456442,P1087,2503,occurUntil,2015
Q461505,P54,Q910453,occurUntil,2005
Q461505,P17,Q139319,,
Q465813,P1087,2523,occurUntil,2015
Q465813,P1087,2541,occurSince,2012
Q465813,P17,Q212,,
Q46629,P1082,479,occurUntil,1961
Q468216,P1087,2215,occurUntil,2010
Q468216,P1087,2200,occurUntil,2013
Q470340,P54,Q18741,occurSince,2005
Q470340,P17,Q142,,
Q472416,P54,Q1475269,occurUntil,2006
Q472416,P17,Q30,,
Q473161,P1082,252,occurSince,1930
Q481414,P1082,2430,occurUntil,1970
Q486778,P1087,2739,occurUntil,2013
Q487113,P1087,2464,occurSince,2014
Q489711,P1082,684,occurUntil,2015
Q489711,P17,Q133356,,
Q492441,P1087,2605,occurSince,2015
Q492441,P17,Q172107,,
Q492446,P1087,2454,occurUntil,2015
Q492446,P1087,2446,occurUntil,2009
Q492446,P17,Q2184,,
Q49325,P166,Q265920,occurUntil,1951
Q502067,P166,Q644077,occurSince,2000
Q504225,P4080,1172,occurUntil,1987
Q504274,P1087,2556,occurSince,2010
Q507492,P1082,298,occurUntil,2017
Q521345,P54,Q19512,occurUntil,2005
Q521345,P17,Q203493,,
Q524820,P1082,466,occurSince,2009
Q525884,P1087,2550,occurUntil,2011
Q52622,P1082,478,occurSince,2008
Q527508,P54,Q328332,occurUntil,2013
Q527508,P54,Q1464421,occurUntil,2002
Q529099,P1082,416,occurUntil,1978
Q530204,P1082,419,occurSince,1869
Q534562,P1082,32,occurUntil,2009
Q535558,P1087,2461,occurSince,2012
Q536934,P1087,2564,occurSince,2011
Q539754,P1082,2776,occurSince,1964
Q542985,P1087,2567,occurUntil,2012
Q542985,P1087,2579,occurUntil,2012
Q542985,P1087,2558,occurUntil,2009
Q547198,P1087,2427,occurUntil,2012
Q547198,P17,Q218,,
Q549900,P1082,447,occurSince,2013
Q55004,P26,Q93604,occurUntil,1950
Q555232,P1087,2752,occurSince,2016
Q555424,P1087,2432,occurUntil,2015
Q560110,P1087,2276,occurSince,2017
Q560110,P1087,2160,occurUntil,2002
Q560110,P17,Q212,,
Q566359,P1087,2267,occurSince,2015
Q573457,P54,Q19477,occurSince,2008
Q574223,P1082,422,occurUntil,1996
Q583139,P1087,2506,occurUntil,2016
Q585320,P1087,2556,occurUntil,2005
Q585320,P1087,2643,occurSince,2014
Q586120,P1082,488,occurSince,2015
Q590606,P1087,2359,occurSince,2014
Q601029,P1082,88,occurUntil,2010
Q60360,P54,Q302967,occurSince,2006
Q60544,P54,Q188568,occurSince,1998
Q60544,P17,Q186096,,
Q606707,P54,Q646596,occurUntil,1998
Q608454,P1082,106,occurUntil,1961
Q608454,P17,Q131964,,
Q608600,P1087,2420,occurUntil,2002
Q608600,P17,Q218,,
Q610602,P1087,2232,occurUntil,2014
Q61636,P1082,500,occurSince,2003
Q62008,P1082,2302,occurSince,1994
Q62175,P54,Q1422,occurSince,1987
Q62175,P17,Q203493,,
Q622942,P1087,2212,occurUntil,2009
Q623685,P1082,3715,occurUntil,2015
Q627186,P1087,2375,occurSince,2014
Q634474,P54,Q206585,occurSince,2001
Q634517,P1087,2248,occurUntil,2003
Q653218,P54,Q13391,occurSince,2010
Q660967,P54,Q746046,occurSince,2009
Q660967,P17,Q34266,,
Q664319,P1082,32,occurUntil,2013
Q672878,P1082,25,occurSince,2005
Q672878,P17,Q34266,,
Q679318,P54,Q51976,occurSince,2014
Q679699,P54,Q2310295,occurUntil,2003
Q680439,P1082,243,occurUntil,2007
Q685117,P1087,2518,occurSince,2013
Q700582,P54,Q659780,occurUntil,2007
Q705778,P1082,2377,occurSince,1971
Q715401,P1087,2345,occurSince,2006
Q717454,P54,Q849221,occurSince,1999
Q717454,P17,Q27306,,
Q718938,P54,Q1422177,occurSince,2003
Q718938,P17,Q133356 ,,
Q720005,P166,Q18844372,occurUntil,1983
Q720005,P17,Q7318,,
Q723829,P54,Q2277185,occurUntil,1993
Q723829,P54,Q19446,occurSince,2001
Q723829,P17,Q156111,,
Q724632,P54,Q9213751,occurUntil,2010
Q725279,P1087,2643,occurSince,2014
Q725629,P1087,2470,occurSince,2007
Q725629,P1087,2470,occurUntil,2005
Q727526,P1082,125,occurUntil,2001
Q727804,P1082,443,occurSince,1910
Q728075,P1087,2414,occurUntil,2014
Q728075,P1087,2435,occurSince,2010
Q730818,P1087,2454,occurUntil,2014
Q781994,P1082,69,occurSince,2014
Q787628,P54,Q389879,occurUntil,2008
Q788109,P1082,475,occurUntil,1910
Q789568,P1087,2616,occurSince,2007
Q807040,P1082,702,occurUntil,1890
Q81051,P1082,2527,occurUntil,2009
Q81051,P17,Q36,,
Q818111,P54,Q2701714,occurUntil,2007
Q83051,P1082,2596,occurSince,1973
Q84327,P108,Q153006,occurSince,1970
Q852474,P1082,246,occurUntil,1991
Q86709,P1087,2543,occurUntil,2011
Q874469,P54,Q318925,occurSince,2013
Q874522,P54,Q16559523,occurSince,2008
Q874522,P17,Q15180,,
Q882229,P1082,210,occurUntil,1995
Q891663,P1082,433,occurUntil,2009
Q893814,P54,Q2331381,occurUntil,1997
Q90489,P1087,2587,occurSince,2012
Q909379,P1082,102,occurSince,1921
Q911856,P1082,179,occurSince,1869
Q911856,P17,Q43287,,
Q921730,P1082,1057,occurUntil,1970
Q921730,P17,Q218,,
Q922946,P54,Q105844,occurSince,2000
Q922946,P17,Q219,,
Q924234,P1082,66,occurSince,2001
Q924234,P17,Q133356,,
Q926549,P54,Q639525,occurSince,2013
Q926677,P54,Q11492669,occurUntil,2005
Q926677,P17,Q186096,,
Q927149,P1082,107,occurSince,2007
Q927149,P17,Q156111,,
Q929370,P54,Q221525,occurSince,2006
Q929461,P1082,418,occurSince,2006
Q937480,P1087,2520,occurUntil,2007
Q941320,P54,Q33748,occurUntil,2005
Q947436,P1082,59,occurUntil,2013
Q950819,P54,Q784311,occurSince,2013
Q952098,P1087,2582,occurUntil,2004
Q952098,P1087,2615,occurUntil,2014
Q952098,P17,Q212,,
Q961565,P1082,557,occurSince,1869
Q968844,P1087,2639,occurUntil,2015
Q969892,P1087,2591,occurUntil,2013
Q969892,P1087,2591,occurUntil,2016
Q969892,P17,Q36,,
Q970977,P1082,1732,occurUntil,1921
Q971610,P1087,2342,occurUntil,2016
Q981325,P1087,2585,occurSince,2010
Q981325,P1087,2589,occurSince,2013
Q984505,P1082,286,occurUntil,2012
Q984505,P17,Q243610,,
Q99199,P1087,2332,occurSince,2004
Q99230,P1087,2485,occurUntil,2013
